iter	Passed	Remaining
994	344930	2428381
995	345390	2428832
996	345829	2429129
997	346221	2429102
998	346655	2429364
999	347110	2429771
1000	347499	2429717
1001	347989	2430373
1002	348436	2430714
1003	348879	2431035
1004	349276	2431035
1005	349746	2431540
1006	350238	2432192
1007	350678	2432487
1008	351109	2432713
1009	351506	2432705
1010	351901	2432678
1011	352373	2433185
1012	352829	2433585
1013	353294	2434041
1014	353732	2434307
1015	354197	2434757
1016	354599	2434776
1017	355058	2435182
1018	355524	2435638
1019	355952	2435832
1020	356377	2435999
1021	356813	2436247
1022	357254	2436522
1023	357675	2436665
1024	358133	2437057
1025	358497	2436807
1026	358539	2434371
1027	358907	2434149
1028	359316	2434202
1029	359693	2434039
1030	360091	2434020
1031	360509	2434139
1032	360844	2433691
1033	361257	2433772
1034	361650	2433717
1035	362032	2433587
1036	362374	2433187
1037	362757	2433059
1038	363037	2432246
1039	363113	2430068
1040	363506	2430010
1041	363934	2430187
1042	364302	2429967
1043	364720	2430075
1044	365132	2430137
1045	365518	2430031
1046	365908	2429956
1047	366378	2430406
1048	366784	2430425
1049	367169	2430311
1050	367568	2430286
1051	367950	2430152
1052	368334	2430029
1053	368711	2429859
1054	369088	2429687
1055	369434	2429312
1056	369738	2428663
1057	370130	2428586
1058	370516	2428477
1059	370879	2428209
1060	371260	2428066
1061	371629	2427841
1062	372048	2427941
1063	372455	2427963
1064	372778	2427436
1065	373158	2427279
1066	373519	2427002
1067	373906	2426893
1068	374251	2426508
1069	374649	2426469
1070	375058	2426500
1071	375475	2426581
1072	375868	2426507
1073	376252	2426374
1074	376608	2426058
1075	376994	2425939
1076	377133	2424231
1077	377514	2424074
1078	377818	2423428
1079	378200	2423286
1080	378568	2423046
1081	378919	2422702
1082	379295	2422516
1083	379673	2422343
1084	380057	2422209
1085	380434	2422030
1086	380801	2421782
1087	381150	2421426
1088	381523	2421221
1089	381922	2421176
1090	382303	2421021
1091	382698	2420955
1092	383027	2420464
1093	383417	2420365
1094	383814	2420307
1095	384210	2420247
1096	384580	2420016
1097	385001	2420111
1098	385434	2420276
1099	385778	2419880
1100	386157	2419706
1101	386499	2419303
1102	386856	2418993
1103	387228	2418776
1104	387637	2418787
1105	388035	2418730
1106	388452	2418791
1107	388815	2418517
1108	389147	2418047
1109	389533	2417914
1110	389922	2417798
1111	390357	2417972
1112	390729	2417749
1113	391117	2417623
1114	391525	2417623
1115	391571	2415395
1116	391938	2415142
1117	392270	2414677
1118	392340	2412595
1119	392735	2412519
1120	393152	2412576
1121	393482	2412098
1122	393865	2411945
1123	394293	2412067
1124	394675	2411904
1125	395040	2411639
1126	395426	2411507
1127	395853	2411616
1128	396206	2411281
1129	396602	2411204
1130	396980	2411018
1131	397377	2410942
1132	397738	2410656
1133	398104	2410392
1134	398498	2410301
1135	398702	2409063
1136	399081	2408881
1137	399463	2408715
1138	399861	2408649
1139	400186	2408140
1140	400630	2408348
1141	400969	2407926
1142	401327	2407616
1143	401663	2407170
1144	402062	2407108
1145	402424	2406822
1146	402743	2406278
1147	403088	2405890
1148	403436	2405522
1149	403910	2405899
1150	404255	2405510
1151	404662	2405492
1152	405023	2405202
1153	405350	2404707
